id,type,location,sha1sum
1,standard,adae0b14eeedca7487a2fd0580cbcb49/iCTF_Logo_Small.png,1b832a91755a6c0e8163f551e6ef6d180e6b32a9
2,standard,dad3e62d13c5abeacb4304d1158b653b/iCTF_Favicon.png,dd9695ca96a0188698138eaa7afafc22f37b3a2c
3,standard,49cf1fa012e410915a33e8bd857030eb/iCTF_Banner.png,3ec833c9da02814e650999b7528c0b23e127b81b
4,standard,1d7308fdb417a23ee4425b2a6b3d6feb/iCTF_Logo.png,3f13ffda9227baf57b0b040d90e092eaf87b4645
6,page,cc274904902a0b63672db6aaeaf033b5/iCTF_Logo.png,8b21fd51d8c089547bdd4c65671036ee74dd9512
7,challenge,66011a860beb66d4d0b75365c980b2d5/hidden_number.py,134d89eaec0ca3704df7df662a8476a2509244a0
8,challenge,751c3de7454c1af2c99684e2c0e3e99a/challenge.py,8ff3c9c0cfddc3db8b4def3aa3290b57990d7d5d
9,challenge,827c3b0c8b4dab560b662217f1617dc4/encrypted_regression_model.pth,961dcc87808a09b9cfba8874d6d48fe69f36faf9
10,challenge,8169b011ae00b0a82c2c9f0b31302fb0/test_data.pt,55e518c854e1711399bc4969fc4b471e04017f10
11,challenge,6c98ec0a7ddfd6ca53cd76e480c20643/encrypt_decrypt.py,8f6f014ce56ce6bf239026a88432d815a7599ed3
12,challenge,188c823a3293fe792c35519784554100/evaluate.py,4dc21b079c63e80e2599221ea6ff13a5a1ea2234
13,challenge,f3f233fff1cf18c5adb06884494d2684/MATERIALS.md,9c15cbd02cc2c59a64bae6d5fa1abc1bc2a220cf
14,challenge,0549f06763d6b2d4a5d3148bd5a16bc8/README.md,2a9f92210ef3156d4345e0db66b76dc6f7c9b87d
16,challenge,4f406715e8aa1bbed301ace8d7958ade/src.zip,7419842cae2c539835c541e7a5090461347d210f
17,challenge,ccb4533298bfb6dadf6c916e965c7ead/network_traffic.pcap,677a16645efa5072c476b56044121fb8f959459d
18,challenge,2167e838d8538bfdfb49776f9807f55a/movie.mp4,6a5894cc8ab16fadda7309443f9385ef9f01f084
19,challenge,b40e7cd1a821fddc24a72499102257d9/mysterious_model.pth,5296ba198d91b54b1021e0f771b6956ffe4b914e
20,challenge,cc4fcaeecc7f4537b9917dbd686e0594/architecture.py,dfabac798ad08540ffe1bc76cba7ce0bd4624da9
21,challenge,a9011b020e2c5e416abb45ad31f23c8b/images.npy,ade16d5dd3810706bb2322a4d1c1578303219433
22,challenge,8f889240dc78b6ce5d61969405efd06e/labels.npy,5a042bce5cac178e9bee7e88924f63cc9cca8308
23,challenge,eb4a1b9640e60013f008b633f432ff53/challenge.py,b3e0ddd98a9873e75092d6cc6a63f0266636b433
24,challenge,823e11df19d410e3eb77c608241d594b/README.md,6a52cc5a645ecbcb4aaf887b8ff9281525c26a3e
25,challenge,e859911eee29cc01cd04ad5d6537756c/mayor_setter.c,5831d873c9a0ebc73daee84ea47db73370d6bec2
26,challenge,63454416c19ed7f21859e35d1fee0fab/app.py,1f0a08591ae31251972554d596bda1f234317b63
27,challenge,13ccdb0730bcd8fd3a39c465cb73e22d/compute.py,b316bf56008a08c12b593576386fbebdeb47ce92
28,challenge,ec7395b03a2957c3a6e2983af9fd91aa/where_is_my_pin.img,72a779d7e87c67516987d75c28a7e1fab14fbde0
29,challenge,3de786eb767a4b93de04f8e2f4fdb214/src.zip,795e261cff586d20c6eb76530b1b4a34ecb2a96a
30,challenge,39538e19a4424f5010e2b9cddc603d61/HackChatAI.zip,a0fb8cd52d2aa4b0c94a2ba2c2a115ba65ea76cc
31,page,9c9cdade82a00d15f13908b0ca9c3c6b/hint.zip,76f6feee0effdce16d9e1032480ce5427b5ca5f1
32,challenge,771bbf1b77b55cf5b0cd81d707e468fa/bad-interpreter.py,c0a8a316bdabb9370573c5dea3428c27a7559ff4
33,challenge,55ac54c15d06273089636bb93d95aae8/model_encrypted.pth,8fe1f80e8592d7a9bcd32ca4030da64d2b8cf28f
34,challenge,94d6cea7ecc62023953fe90e63baebb1/README.md,7b5cb454592cb698bd03de69eff0cdbcc051d0c3
35,challenge,e37d0cb02dac75a6b8306f086cd940fb/know-it-all.py,32bb9166bc5038555faefeca86ba21163494ddbd
36,challenge,9818e5a2261a1087caf2511fa27c8935/target.bc,e17f5f1f6a14e0a4fbc156a516b0368e074cb3b9
37,challenge,adad5b5033872c719a18453c0d80758a/target,67b048fbb997522e9849d11e420e149d55779762
38,challenge,c2f7572a5c58d2a2b88630323e071b8c/MetadataPass.cpp,75359011d5ebd0ca037d3d89c13710af7d68e48a
39,challenge,7dd37028b0d4664962f15faf6b54f1aa/broken_script.py,ec55a04b669d445431a94a105e46b813009aee7d
40,challenge,7674d4e9e78fa6f852020ce53a17775e/m1.pt,2fd95d4bb47c85d6e378c6dc2eb0b88a056cb517
41,challenge,2cf95903253b9a5c0a716e8d484120d5/m2.pt,646eb6bd710cb59cc95c422a09176e0b213bd8b0
42,challenge,d6aa48bc3be13e531ab70674fb70ab0c/main.py,a5958c135eadb7d8052a71f9761b8158c8aad695
43,challenge,88a13a513ad137b77e7758b409af7662/readme.md,1e6771e45b560e08c4363351fb7dc0a503f0e052
45,challenge,c088b3053120c7f6575d9e9093a9648f/chall.py,705f605e5a1d7728c37913d32aefe50c6e99a01a
