id,type,ip,user_id,date
10,,169.231.8.168,1,2024-11-22 07:07:50.303402
11,,169.231.8.168,23,2024-11-16 04:21:37.748237
12,,172.56.66.228,25,2024-11-16 04:35:26.588381
13,,99.24.221.233,25,2024-11-17 04:37:36.869297
14,,165.225.242.195,23,2024-11-16 05:16:50.846432
15,,169.231.10.91,1,2024-11-17 07:30:30.660604
16,,169.231.10.91,23,2024-11-16 05:51:47.445222
17,,169.231.10.91,25,2024-11-16 05:59:17.436830
18,,47.149.182.230,19,2024-11-22 23:26:00.709393
19,,70.133.222.180,25,2024-11-22 23:45:16.738588
20,,108.49.254.103,18,2024-11-22 11:25:26.447693
21,,172.56.194.21,18,2024-11-22 03:00:03.850024
22,,115.79.225.222,21,2024-11-22 17:35:25.098648
23,,173.48.133.252,18,2024-11-22 23:37:19.972132
24,,172.58.252.80,25,2024-11-16 14:29:20.964346
25,,73.99.224.11,16,2024-11-22 23:21:08.747743
26,,14.186.74.120,21,2024-11-22 23:59:39.492500
27,,162.83.123.211,22,2024-11-22 03:24:10.094484
28,,99.48.53.61,25,2024-11-22 23:55:30.192371
29,,172.59.219.149,25,2024-11-16 16:07:42.587076
30,,169.231.9.147,1,2024-11-17 01:24:58.335488
31,,73.209.174.38,15,2024-11-22 23:10:37.907953
32,,172.56.192.138,18,2024-11-16 16:53:36.018306
33,,128.111.49.72,1,2024-11-16 21:43:20.611691
34,,98.182.18.161,1,2024-11-22 23:31:14.612016
35,,73.61.214.131,18,2024-11-22 23:44:41.176056
36,,100.4.55.171,11,2024-11-17 22:11:14.995641
37,,99.78.75.187,24,2024-11-22 23:26:40.943425
38,,128.111.48.61,1,2024-11-22 23:24:54.837693
39,,66.30.19.111,18,2024-11-22 21:19:28.606945
40,,128.135.204.179,15,2024-11-16 19:21:50.945613
41,,70.174.64.233,11,2024-11-18 01:19:01.242290
42,,47.151.120.214,1,2024-11-19 05:16:26.773147
43,,128.135.204.92,15,2024-11-18 19:24:48.162423
44,,128.135.204.72,15,2024-11-19 21:33:37.052814
45,,98.62.48.73,25,2024-11-20 17:33:06.446493
46,,189.233.167.58,8,2024-11-20 01:11:04.777442
47,,47.151.120.214,23,2024-11-17 15:18:43.364502
48,,70.177.231.55,22,2024-11-22 23:59:20.339253
49,,187.168.112.221,8,2024-11-18 20:47:14.431835
50,,128.135.204.5,10,2024-11-19 21:31:08.631276
51,,172.59.218.249,25,2024-11-16 18:10:04.576371
52,,128.135.204.209,15,2024-11-20 18:07:52.504446
53,,201.137.4.162,8,2024-11-16 21:22:27.497569
54,,187.189.221.118,8,2024-11-19 23:33:02.669389
55,,187.169.111.117,8,2024-11-20 17:39:43.363964
56,,136.56.38.185,24,2024-11-22 23:48:08.550067
57,,68.108.249.60,23,2024-11-22 23:43:14.614355
58,,74.99.66.123,11,2024-11-20 10:19:26.384243
59,,70.185.180.36,19,2024-11-21 02:02:35.702385
