id,user_id,team_id,type,name,description,date,value,category,icon,requirements
1,8,,standard,Hint 1,Hint for HackChatAI,2024-11-16 19:05:03.984428,-50,hints,,
2,27,,standard,Hint 1,Hint for HackChatAI,2024-11-17 22:09:43.578946,-50,hints,,
3,17,,standard,Hint 1,Hint for HackChatAI,2024-11-18 13:33:04.055543,-50,hints,,
4,27,,standard,Hint 3,Hint for UnmaskTheTrigger,2024-11-19 23:16:44.202669,-20,hints,,
5,27,,standard,Hint 4,Hint for UnmaskTheTrigger,2024-11-19 23:59:24.883297,-20,hints,,
6,27,,standard,Hint 5,Hint for Boing,2024-11-20 06:41:45.539399,-150,hints,,
7,35,,standard,Hint 4,Hint for UnmaskTheTrigger,2024-11-20 09:15:54.601231,-20,hints,,
8,19,,standard,Hint 5,Hint for Boing,2024-11-21 02:11:54.715376,-150,hints,,
9,19,,standard,Hint 1,Hint for HackChatAI,2024-11-21 05:44:47.018980,-50,hints,,
10,12,,standard,Hint 5,Hint for Boing,2024-11-21 17:41:51.742981,-150,hints,,
11,15,,standard,Hint 6,Hint for where_is_my_pin?,2024-11-21 17:41:52.302784,-75,hints,,
12,8,,standard,Hint 6,Hint for where_is_my_pin?,2024-11-21 21:03:27.118941,-75,hints,,
13,19,,standard,Hint 7,Hint for what_the_waaaaf-2,2024-11-22 20:22:11.039573,-50,hints,,
