id,name,description,attribution,connection_info,next_id,max_attempts,value,category,type,state,requirements
1,Babychecker_Revenge,"This is another website that can visit links, can you GET the flag? :D",,https://ictf24-under-babychecker-revenge.chals.io,,0,50,web,dynamic,visible,
2,Can you hear the 0CR Searcher?,"Hard-coded text in video information is not uncommon in the increasingly vast digital landscape. However, for long-form videos, it can be tiresome to watch an entire video to get its content. Further, extracting information from the audio channel of some videos can be unreliable, due to accents, foreign languages, in more.
In this undergrad challenge, you will extract the encoded text information in a long-form video file using Optical Character Recognition (OCR). OCR is a process whereby text is recognized and extracted from images/videos using computer vision, which can be outputted to a file. Once you have extracted the text information, search the file for the word ""flag"", and the flag will be directly written (and stated) in the same sentence.
Hints: - You might consider using audio recognition approaches to transcribe the audio channel (e.g., with pyTranscriber), which may be faster, but much less accurate. - In order to speed up OCR on video, you may consider dropping the framerate of the video (e.g., using ffmpeg) in order to reduce OCR operations on redundant frames. ",,,,0,50,programming,dynamic,visible,
4,distributed_training,"a server is set up to accept a 4x4 matrix upload in .pt format (e.g., you upload matA). The server will then return the results of the multiplication matA * matB, where matB is a secret matrix stored on the server. Can you get the flag?",,https://ictf24-under-distributed-training.chals.io,,0,50,pwn,dynamic,visible,
5,linear_labyrinth,**author**: 0xk4l1,,,,0,460,misc,dynamic,visible,
6,HackChatAI,Why rely on humans for conversation when AI can handle it for you?,,https://ictf24-under-hackchatai.chals.io,,0,50,web,dynamic,visible,
8,ictf_welcome,"Welcome to the 2024 iCTF.
This is a warm-up challenge",,nc 0.cloud.chals.io 24970,,0,100,intro,standard,visible,
9,overpass,"Flip phone beeps.

.. .. ..
.. .. ..
.. .. ..

Hey (insert CTF players name)!

damn, yesterday was rough… remember that me and a couple of friends went out for partying?
Apparently, the combination of non-alcoholic beverages, good vibes and burgers made me lose control… seems like I got on a plane and went some place in the United States.
Now that I have recovered from my party induced coma, I have absolutely no clue where I am.

All I know is that I can see a something high, maybe a monument? I would say it's within around 100m of the building's roof I woke up on.
My watch tells me that the building is 35.9 meters high. Now listen, I'm kinda lost and I need to get to this thing tomorrow. Can you help me figure out where I am?

Also, can you find the nearest airport that only has two runways?

Flag format: The name of the building I am on, followed by the name of the monument nearby and the IATA code of the airport. All lower case, replace spaces with '_'

ictf{first_building_the_thing_airportcode}",,,,0,50,misc,dynamic,visible,
10,poppy,Let's play a game! Beat my AI and I'll give you the flag. Good luck!,,nc 0.cloud.chals.io 30265,,0,50,programming,dynamic,visible,
11,hidden_in_code,"Dive into the depths of abstraction where code transforms into enigma. In this challenge, you will navigate through layers of representation, seeking hidden truths buried within the confines of a mysterious file.",,,,0,50,forensic,dynamic,visible,
12,encrypted_ai,"A student has designed a PyTorch model and embedded a hidden flag within it. To add a layer of security, he encrypted the model using XOR encryption with a random 16-byte key before sharing it with his friends. However, the student forgot to save both the encryption key and the unencrypted model, making the task of revealing the hidden flag a puzzle.\n\nYour challenge is to recover the encryption key and decrypt the model to unveil the concealed information. The encrypted model file is provided i.e., `model_encrypted.pth`.\n\nGood luck, and happy decrypting!",,,,0,212,machine-learning,dynamic,visible,
13,aimemo,"I found this memorization service that says it can store infinite knowledge, and someone put a secret flag in there! It looks like this thing uses AI under the hood. I could not find a way to break it, can you?",,nc 0.cloud.chals.io 24805,,0,50,pwn,dynamic,visible,
14,Boing,A fun app for your images!,,https://ictf24-under-boing.chals.io,,0,460,web,dynamic,visible,
15,MysteriousModel,"One day, you found a mysterious device with a camera attached. You figured out that this device takes pictures of grayscale (28x28 pixels) hand-written digits and classifies them using a convolutional neural network model into six different classes. Your task is to find out which six digits this mysterious model is supposed to classify (i.e., the digits that correspond to each of the model's output logits). You're given four files for this challenge - [1::mysterious_model.pth], the PyTorch model that you need to reverse engineer [2::images.npy], a collection of 100 images of digits (10 images per digit) that you can test the model with (a 100x28x28 numpy array) - [3::labels.npy], the labels (zero to nine) for the given 100 test images (a 100-dimensional numpy array) [4::architecture.py], a Python script containing the model's architecture definition (in PyTorch), a utility function (load_model) to load the model into memory for testing, and a utility function (display_image) to display individual images in the provided data. For this challenge, you need to create a Python environment with PyTorch (see https://pytorch.org/get-started/locally to get started) and Matplotlib (https://pypi.org/project/matplotlib/). You can easily solve this challenge only using a CPU (you won't need a GPU). Let's say the model's six output logits correspond to digits 3,7,1,2,5,9 (e.g., the first logit is for digit 3, the second logit is for digit 7, and so on). The flag will be 'ictf{3,7,1,2,5,9}' (no quotes).",,,,0,50,machine-learning,dynamic,visible,
