challenge_id,user_id,team_id,id,ip,provided,type,date
8,9,,1,128.211.251.214,ictf{ThisIsJustTheStart},correct,2024-11-16 18:01:15.942687
8,34,,2,24.145.46.133,ictf{ThisIsJustTheStart},correct,2024-11-16 18:01:39.254186
8,10,,3,169.231.158.107,ictf{ThisIsJustTheStart},correct,2024-11-16 18:03:45.406393
8,22,,4,150.214.205.60,ictf{ThisIsJustTheStart},correct,2024-11-16 18:03:48.954333
8,17,,5,103.220.204.37,ictf{ThisIsJustTheStart},correct,2024-11-16 18:04:13.944391
8,39,,6,152.58.216.145,ictf{ThisIsJustTheStart},correct,2024-11-16 18:04:42.794317
8,11,,8,103.94.134.6,ictf{ThisIsJustTheStart},correct,2024-11-16 18:05:06.957640
8,33,,9,169.231.102.224,ictf{ThisIsJustTheStart},correct,2024-11-16 18:05:15.165096
8,18,,10,169.231.34.130,ictf{ThisIsJustTheStart},correct,2024-11-16 18:05:16.280552
8,15,,11,103.94.134.5,ictf{ThisIsJustTheStart},correct,2024-11-16 18:06:36.295780
8,8,,13,104.194.102.128,ictf{ThisIsJustTheStart},correct,2024-11-16 18:07:17.363177
8,5,,16,138.59.202.193,ictf{ThisIsJustTheStart},correct,2024-11-16 18:09:11.012289
8,21,,17,35.21.63.207,ictf{ThisIsJustTheStart},correct,2024-11-16 18:09:38.059322
8,38,,18,102.17.120.245,ictf{ThisIsJustTheStart},correct,2024-11-16 18:16:14.919906
8,35,,20,136.36.171.204,ictf{ThisIsJustTheStart},correct,2024-11-16 18:21:14.905795
8,25,,22,199.111.113.141,ictf{ThisIsJustTheStart},correct,2024-11-16 18:21:45.862948
4,9,,23,128.211.251.214,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 18:23:05.902917
4,22,,24,90.167.158.15,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 18:24:16.042841
8,28,,25,146.70.11.35,ictf{ThisIsJustTheStart},correct,2024-11-16 18:25:39.195500
8,7,,27,96.66.89.62,ictf{ThisIsJustTheStart},correct,2024-11-16 18:26:16.674464
8,32,,28,107.13.75.98,ictf{ThisIsJustTheStart},correct,2024-11-16 18:27:24.768245
4,39,,31,117.253.103.144,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 18:34:02.149552
4,7,,32,129.19.163.254,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 18:39:01.364981
4,21,,34,69.176.153.109,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 18:41:10.967555
4,34,,42,24.145.46.133,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 18:46:57.366745
2,9,,57,52.119.103.17,ictf{Hokago Tea Time},correct,2024-11-16 18:50:18.726864
4,11,,60,103.94.134.48,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 18:52:57.903999
1,22,,68,79.116.241.160,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-16 18:56:02.250999
2,21,,77,35.21.63.207,ictf{Hokago Tea Time},correct,2024-11-16 18:59:52.629436
