id,user_id,team_id,target,date,type
1,8,,1,2024-11-16 19:05:03.962914,hints
2,27,,1,2024-11-17 22:09:43.570889,hints
3,17,,1,2024-11-18 13:33:04.033418,hints
4,27,,3,2024-11-19 23:16:44.189941,hints
5,27,,4,2024-11-19 23:59:24.875327,hints
6,27,,5,2024-11-20 06:41:45.527107,hints
7,35,,4,2024-11-20 09:15:54.594847,hints
8,19,,5,2024-11-21 02:11:54.707627,hints
9,19,,1,2024-11-21 05:44:47.012295,hints
10,12,,5,2024-11-21 17:41:51.735452,hints
11,15,,6,2024-11-21 17:41:52.296340,hints
12,8,,6,2024-11-21 21:03:27.108339,hints
13,19,,7,2024-11-22 20:22:11.032785,hints
