id,name
1,ictf-admin
2,Tank
3,Tushar 
4,heckinrachel
5,t0pSecRET
6,Zero Day's to Glory Pass
7,Delogrand
8,Loose Squares
9,b01lers
10,broccoli cheddar soup
11,Shomiti
12,Byte_F0rc3
13,Toorist 
14,BUET_f14g_m15sion
15,c7f_p4r1n4
16,Uguntu 
17,BUET_is_chillin
18,\n
19,CyberLions
20,TeamShakti
21,Spartans
22,Hackiit
23,Team UGR
24,pwngineers
25,NSU Greats
26,NSU Elite
27,Blue
28,ROOT@UT
29,The Crypt Kids
31,SassyLlamas
32,HackPack
33,hack_of_all_trades
34,Pikachu
35,BYU Cyberia
36,ringmaster
37,Jeditrix
38,D0lT
39,bi0s
40,Hackers Fight Club
